nickname,canonical,source
bob,robert,en.wikipedia.org/wiki/Bob_(given_name)
bobby,robert,en.wikipedia.org/wiki/Bob_(given_name)
rob,robert,en.wikipedia.org/wiki/Bob_(given_name)
mike,michael,en.wikipedia.org/wiki/Michael_(given_name)
mikey,michael,en.wikipedia.org/wiki/Michael_(given_name)
bill,william,en.wikipedia.org/wiki/William_(name)
billy,william,en.wikipedia.org/wiki/William_(name)
willy,william,en.wikipedia.org/wiki/William_(name)
tony,anthony,en.wikipedia.org/wiki/Anthony_(name)
tom,thomas,en.wikipedia.org/wiki/Thomas_(name)
tommy,thomas,en.wikipedia.org/wiki/Thomas_(name)
dave,david,en.wikipedia.org/wiki/David_(name)
davey,david,en.wikipedia.org/wiki/David_(name)
davy,david,en.wikipedia.org/wiki/David_(name)
steve,steven,en.wikipedia.org/wiki/Steven_(given_name)
stevie,steven,en.wikipedia.org/wiki/Steven_(given_name)
jim,james,en.wikipedia.org/wiki/James_(name)
jimmy,james,en.wikipedia.org/wiki/James_(name)
johnny,john,en.wikipedia.org/wiki/John_(given_name)
eddie,edward,en.wikipedia.org/wiki/Edward
teddy,edward,en.wikipedia.org/wiki/Edward
benny,benjamin,en.wikipedia.org/wiki/Benjamin_(name)
benji,benjamin,en.wikipedia.org/wiki/Benjamin_(name)
joe,joseph,en.wikipedia.org/wiki/Joseph_(name)
joey,joseph,en.wikipedia.org/wiki/Joseph_(name)
matt,matthew,en.wikipedia.org/wiki/Matthew_(given_name)
matty,matthew,en.wikipedia.org/wiki/Matthew_(given_name)
rick,richard,en.wikipedia.org/wiki/Richard_(name)
ricky,richard,en.wikipedia.org/wiki/Richard_(name)
dick,richard,en.wikipedia.org/wiki/Richard_(name)
greg,gregory,en.wikipedia.org/wiki/Gregory
gregg,gregory,en.wikipedia.org/wiki/Gregory
ron,ronald,en.wikipedia.org/wiki/Ronald_(name)
don,donald,en.wikipedia.org/wiki/Donald_(name)
donnie,donald,en.wikipedia.org/wiki/Donald_(name)
ken,kenneth,en.wikipedia.org/wiki/Kenneth_(given_name)
kenny,kenneth,en.wikipedia.org/wiki/Kenneth_(given_name)
andy,andrew,en.wikipedia.org/wiki/Andrew
gabe,gabriel,en.wikipedia.org/wiki/Gabriel_(given_name)
zach,zachary,en.wikipedia.org/wiki/Zachary
zack,zachary,en.wikipedia.org/wiki/Zachary
fred,frederick,en.wikipedia.org/wiki/Frederick
freddy,frederick,en.wikipedia.org/wiki/Frederick
hank,henry,en.wikipedia.org/wiki/Henry_(given_name)
ike,isaac,en.wikipedia.org/wiki/Isaac_(name)
liz,elizabeth,en.wikipedia.org/wiki/Elizabeth_(given_name)
lizzy,elizabeth,en.wikipedia.org/wiki/Elizabeth_(given_name)
lizzie,elizabeth,en.wikipedia.org/wiki/Elizabeth_(given_name)
beth,elizabeth,en.wikipedia.org/wiki/Elizabeth_(given_name)
betty,elizabeth,en.wikipedia.org/wiki/Elizabeth_(given_name)
betsy,elizabeth,en.wikipedia.org/wiki/Elizabeth_(given_name)
eliza,elizabeth,en.wikipedia.org/wiki/Elizabeth_(given_name)
katie,katherine,en.wikipedia.org/wiki/Katherine
kate,katherine,en.wikipedia.org/wiki/Katherine
katy,katherine,en.wikipedia.org/wiki/Katherine
kathy,katherine,en.wikipedia.org/wiki/Katherine
sue,susan,en.wikipedia.org/wiki/Susan_(given_name)
susie,susan,en.wikipedia.org/wiki/Susan_(given_name)
suzy,susan,en.wikipedia.org/wiki/Susan_(given_name)
maggie,margaret,en.wikipedia.org/wiki/Margaret_(name)
peggy,margaret,en.wikipedia.org/wiki/Margaret_(name)
meg,margaret,en.wikipedia.org/wiki/Margaret_(name)
becky,rebecca,en.wikipedia.org/wiki/Rebecca_(given_name)
bex,rebecca,en.wikipedia.org/wiki/Rebecca_(given_name)
debbie,deborah,en.wikipedia.org/wiki/Deborah
deb,deborah,en.wikipedia.org/wiki/Deborah
jenny,jennifer,en.wikipedia.org/wiki/Jennifer_(name)
jen,jennifer,en.wikipedia.org/wiki/Jennifer_(name)
trish,patricia,en.wikipedia.org/wiki/Patricia_(name)
patty,patricia,en.wikipedia.org/wiki/Patricia_(name)
penny,penelope,en.wikipedia.org/wiki/Penelope_(name)
abby,abigail,en.wikipedia.org/wiki/Abigail
vicky,victoria,en.wikipedia.org/wiki/Victoria_(name)
tori,victoria,en.wikipedia.org/wiki/Victoria_(name)
cathy,catherine,en.wikipedia.org/wiki/Catherine_(given_name)
mandy,amanda,en.wikipedia.org/wiki/Amanda
em,emily,en.wikipedia.org/wiki/Emily_(given_name)
lottie,charlotte,en.wikipedia.org/wiki/Charlotte_(given_name)
hattie,harriet,en.wikipedia.org/wiki/Harriet_(name)
val,valerie,en.wikipedia.org/wiki/Valerie_(name)
