name,p_female,p_male,weight,culture,source
aad,0.0,1.0,1.0,european_other,firstname-db
aadam,0.0,1.0,1.0,european_other,firstname-db
aadje,1.0,0.0,1.0,european_other,firstname-db
aadu,0.0,1.0,1.0,european_other,firstname-db
aaf,0.75,0.25,0.7,european_other,firstname-db
aafke,0.8333,0.1667,0.75,european_other,firstname-db
aafkea,1.0,0.0,1.0,european_other,firstname-db
aafko,0.0,1.0,1.0,european_other,firstname-db
aage,0.0,1.0,1.0,european_other,firstname-db
aagje,1.0,0.0,1.0,european_other,firstname-db
aagot,1.0,0.0,1.0,european_other,firstname-db
aagoth,1.0,0.0,1.0,european_other,firstname-db
aalbert,0.0,1.0,1.0,european_other,firstname-db
aalderich,0.0,1.0,1.0,european_other,firstname-db
aalderk,0.0,1.0,1.0,european_other,firstname-db
aaldrik,0.0,1.0,1.0,european_other,firstname-db
aale,0.0,1.0,1.0,european_other,firstname-db
aaliyah,1.0,0.0,1.6,western,firstname-db+faimr-seed
aalke,1.0,0.0,1.0,european_other,firstname-db
aalt,0.0,1.0,1.0,european_other,firstname-db
aaltien,1.0,0.0,1.0,european_other,firstname-db
aaltinus,0.0,1.0,1.0,european_other,firstname-db
aaltje,1.0,0.0,1.0,european_other,firstname-db
aaltsje,1.0,0.0,1.0,european_other,firstname-db
aamir,0.0,1.0,1.0,arab,firstname-db
aant,0.75,0.25,0.7,european_other,firstname-db
aapeli,0.0,1.0,1.0,european_other,firstname-db
aapo,0.0,1.0,1.0,european_other,firstname-db
aappo,0.0,1.0,1.0,european_other,firstname-db
aarav,0.0,1.0,0.6,other,faimr-seed
aard,0.0,1.0,1.0,european_other,firstname-db
aare,0.0,1.0,1.0,european_other,firstname-db
aarent,0.0,1.0,1.0,european_other,firstname-db
aarjan,0.0,1.0,1.0,european_other,firstname-db
aarne,0.0,1.0,1.0,european_other,firstname-db
aarni,0.0,1.0,1.0,european_other,firstname-db
aarno,0.0,1.0,1.0,european_other,firstname-db
aarnoud,0.0,1.0,1.0,european_other,firstname-db
aarnout,0.0,1.0,1.0,european_other,firstname-db
aaro,0.0,1.0,1.0,european_other,firstname-db
aaron,0.0,1.0,1.6,european_other,firstname-db+faimr-seed
aarre,0.0,1.0,1.0,european_other,firstname-db
aarron,0.0,1.0,1.0,western,firstname-db
aart,0.0,1.0,1.0,european_other,firstname-db
aarti,1.0,0.0,1.0,south_asian,firstname-db
aarón,0.0,1.0,1.0,european_other,firstname-db
aase,1.0,0.0,1.0,european_other,firstname-db
aashild,1.0,0.0,1.0,european_other,firstname-db
aat,0.0,1.0,1.0,european_other,firstname-db
aatami,0.0,1.0,1.0,european_other,firstname-db
aatos,0.0,1.0,1.0,european_other,firstname-db
aatto,0.0,1.0,1.0,european_other,firstname-db
aatu,0.0,1.0,1.0,european_other,firstname-db
aave,1.0,0.0,1.0,european_other,firstname-db
aavo,0.0,1.0,1.0,european_other,firstname-db
ab,0.0,1.0,1.0,european_other,firstname-db
abad,0.0,1.0,1.0,european_other,firstname-db
abagail,1.0,0.0,1.0,western,firstname-db
abai,0.0,1.0,1.0,arab,firstname-db
abas,0.0,1.0,1.0,arab,firstname-db
abay,0.0,1.0,1.0,arab,firstname-db
abaz,0.0,1.0,1.0,slavic,firstname-db
abbas,0.0,1.0,1.0,arab,firstname-db
abbe,0.8333,0.1667,0.75,western,firstname-db
abbey,1.0,0.0,1.0,western,firstname-db
abbie,1.0,0.0,1.0,western,firstname-db
abbigail,1.0,0.0,1.0,western,firstname-db
abbo,0.0,1.0,1.0,european_other,firstname-db
abbondanza,1.0,0.0,1.0,european_other,firstname-db
abbondanzio,0.0,1.0,1.0,european_other,firstname-db
abbondio,0.0,1.0,1.0,european_other,firstname-db
abby,1.0,0.0,1.0,western,firstname-db
abd,0.0,1.0,1.0,arab,firstname-db
abdal,0.0,1.0,1.0,arab,firstname-db
abdalla,0.0,1.0,1.0,arab,firstname-db
abdallah,0.0,1.0,1.0,arab,firstname-db
abdalsalam,0.0,1.0,1.0,arab,firstname-db
abdel,0.0,1.0,1.0,arab,firstname-db
abdelaziz,0.0,1.0,1.0,arab,firstname-db
abdelfattah,0.0,1.0,1.0,arab,firstname-db
abdelghani,0.0,1.0,1.0,arab,firstname-db
abdelhafid,0.0,1.0,1.0,arab,firstname-db
abdelhafiz,0.0,1.0,1.0,arab,firstname-db
abdelhak,0.0,1.0,1.0,arab,firstname-db
abdelhakim,0.0,1.0,1.0,arab,firstname-db
abdelhalim,0.0,1.0,1.0,arab,firstname-db
abdelhamid,0.0,1.0,1.0,arab,firstname-db
abdelilah,0.0,1.0,1.0,arab,firstname-db
abdelkader,0.0,1.0,1.0,arab,firstname-db
abdelkarim,0.0,1.0,1.0,arab,firstname-db
abdellah,0.0,1.0,1.0,arab,firstname-db
abdellatif,0.0,1.0,1.0,arab,firstname-db
abdelmajid,0.0,1.0,1.0,arab,firstname-db
abdelrahman,0.0,1.0,1.0,arab,firstname-db
abderrahim,0.0,1.0,1.0,arab,firstname-db
abderrahman,0.0,1.0,1.0,arab,firstname-db
abderrahmane,0.0,1.0,1.0,arab,firstname-db
abderrazak,0.0,1.0,1.0,arab,firstname-db
abdeslam,0.0,1.0,1.0,arab,firstname-db
abdi,0.0,1.0,1.0,slavic,firstname-db
abdija,0.0,1.0,1.0,slavic,firstname-db
abdo,0.0,1.0,1.0,arab,firstname-db
abdolkarim,0.0,1.0,1.0,arab,firstname-db
abdolreza,0.0,1.0,1.0,arab,firstname-db
abdolsaleh,0.0,1.0,1.0,arab,firstname-db
